Team,MapName,Result,Margin,R,ACS,K,D,A,ADR,FK,FD,VS
T1,Bind,Loss,-3,0.882,196.2,15.6,16.4,5.8,122.0,1.8,2.8,FUT
EDG,Split,Win,7,1.138,215.4,15.4,11.2,5.4,137.6,2.0,1.8,GIA
GIA,Split,Loss,-7,0.89,179.4,11.2,15.4,6.6,122.0,1.8,2.0,EDG
EDG,Fracture,Win,6,1.104,224.8,17.0,12.8,7.8,149.8,2.2,1.8,GIA
GIA,Fracture,Loss,-6,0.9339999999999999,187.8,12.8,17.0,7.0,127.2,1.8,2.2,EDG
BLG,Bind,Win,3,1.048,211.4,17.2,16.4,8.4,138.8,2.8,1.8,NRG
NRG,Bind,Loss,-3,0.99,203.4,16.4,17.2,7.0,137.2,1.8,2.8,BLG
BLG,Ascent,Win,8,1.162,217.8,14.0,11.0,7.2,131.2,1.8,1.8,NRG
NRG,Ascent,Loss,-8,0.8400000000000001,181.6,11.0,14.0,4.4,117.6,1.8,1.8,BLG
FNC,Ascent,Loss,-2,0.984,195.6,16.0,16.8,8.2,128.6,2.4,2.4,LOUD
FNC,Lotus,Loss,-7,0.86,166.4,10.2,13.0,3.8,118.0,2.0,1.8,LOUD
LOUD,Lotus,Win,7,1.1179999999999999,188.2,13.0,10.2,5.2,125.0,1.8,2.0,FNC
PRX,Ascent,Win,3,1.122,216.4,18.0,13.6,6.6,134.2,2.4,2.2,FUT
FUT,Ascent,Loss,-3,0.8720000000000001,171.0,13.6,18.0,5.0,118.2,2.2,2.4,PRX
PRX,Pearl,Win,9,1.224,220.6,13.8,9.8,4.8,144.0,2.2,1.2,FUT
FUT,Pearl,Loss,-9,0.752,183.8,9.8,13.8,4.8,134.6,1.2,2.2,PRX
DRX,Lotus,Win,3,1.058,197.0,15.6,15.6,8.4,130.6,2.8,1.8,BLG
BLG,Lotus,Loss,-3,0.9620000000000001,193.4,15.6,15.6,6.0,119.0,1.8,2.8,DRX
DRX,Haven,Win,4,1.1119999999999999,212.0,16.8,14.0,9.4,138.0,2.8,1.6,BLG
BLG,Haven,Loss,-4,0.944,188.2,14.0,16.8,8.2,123.6,1.6,2.8,DRX
EDG,Split,Win,2,1.136,211.0,19.0,16.6,8.6,145.4,2.2,3.0,EG
EDG,Ascent,Loss,-8,0.6990000000000001,164.6,9.7,15.3,5.9,112.6,0.7,2.9,EG
EG,Pearl,Win,8,1.286,240.2,16.0,10.6,5.6,158.4,2.6,1.0,EDG
EDG,Pearl,Loss,-8,0.704,174.8,10.6,16.0,4.6,111.2,1.0,2.6,EG
FNC,Split,Win,8,1.226,210.6,13.4,9.8,6.0,134.8,2.6,1.0,FUT
FNC,Haven,Win,4,1.217,205.9,16.2,12.0,6.5,135.4,3.1,1.3,FUT
FUT,Haven,Loss,-4,0.756,151.0,11.0,17.0,4.0,103.0,1.2,3.2,FNC
BLG,Bind,Loss,-9,0.654,170.4,9.8,14.4,2.2,106.0,1.4,2.0,EDG
EDG,Bind,Win,9,1.268,220.8,14.4,9.8,4.6,140.8,2.0,1.4,BLG
BLG,Split,Win,2,1.076,218.6,21.4,19.6,10.6,144.8,4.0,1.6,EDG
BLG,Haven,Loss,-3,0.892,196.0,15.8,17.2,5.4,129.2,2.6,2.0,EDG
EDG,Haven,Win,3,1.1039999999999999,204.4,17.2,15.8,7.8,133.6,2.0,2.6,BLG
LOUD,Lotus,Loss,-2,1.008,207.4,20.4,20.4,9.4,133.2,3.0,2.6,PRX
LOUD,Split,Win,11,1.436,234.8,13.2,6.8,6.6,144.6,2.0,1.0,PRX
PRX,Split,Loss,-11,0.594,143.6,6.8,13.2,3.8,100.8,1.0,2.0,LOUD
DRX,Fracture,Loss,-4,0.7899999999999999,173.2,12.6,17.0,6.4,119.0,2.4,2.0,EG
DRX,Lotus,Loss,-9,0.758,176.8,9.8,14.4,3.6,113.6,2.0,1.4,EG
